alþm	alþingismaður 
aths	athugasemd 
atkv	atkvæði 
atkvgr	atkvæðagreiðsla
dómsmrh	dómsmálaráðherra 
dómsmrn	dómsmálaráðuneyti 
efnismgr	efnismálsgrein 
félmrh	félagsmálaráðherra 
félmrn	félagsmálaráðuneyti 
félmn	félagsmálanefnd
fjárln	fjárlaganefnd 
fjmrh	fjármálaráðherra 
fjmrn	fjármálaráðuneyti 
flm	flutningsmaður 
forsrh	forsætisráðherra 
forsrn	forsætisráðuneyti 
framsfl	framsóknarflokkur 
frávtill	frávísunartillaga 
frhnál	framhaldsnefndarálit 
frsm	framsögumaður 
frv	frumvarp 
frvgr	frumvarpsgrein 
fskj	fylgiskjal 
fylgifrv	fylgifrumvarp
fyrrv	fyrrverandi 
gr	grein 
grg	greinargerð 
heilbrrh	heilbrigðisráðherra
heilbrrn	heilbrigðisráðuneyti
hv	háttvirtur 
hæstv	hæstvirtur
iðnrh	iðnaðarráðherra 
iðnrn	iðnaðarráðuneyti 
kirkjumrh	kirkjumálaráðherra
kirkjumrn	kirkjumálaráðuneyti
lagafrv	lagafrumvarp 
landbrh	landbúnaðarráðherra 
landbrn	landbúnaðarráðuneyti 
lögþ	löggjafarþing 
málsl	málsliður
meðflm	meðflutningsmaður
menntmrh	menntamálaráðherra 
menntmrn	menntamálaráðuneyti 
mgr	málsgrein
núv 	núverandi
rg	reglugerð 
samgrh	samgönguráðherra 
samgrn	samgönguráðuneyti 
sbr	samanber 
shlj	samhljóða 
sjálfstfl	sjálfstæðisflokkur 
sjútvrh	sjávarútvegsráðherra 
sjútvrn	sjávarútvegsráðuneyti 
skv	samkvæmt 
stjfrv	stjórnarfrumvarp 
stjskr	stjórnarskrá 
stjskrn	stjórnarskrárnefnd 
stjskl	stjórnarskipunarlög 
stjtill	stjórnartillaga 
stjtíð	stjórnartíðindi 
till	tillaga 
tillgr	tillögugrein
trmrh	tryggingamálaráðherra
trmrn	tryggingamálaráðuneyti 
tölul	töluliður 
umhvrh	umhverfisráðherra 
umhvrn	umhverfisráðuneyti 
umr	umræða 
utanrmn	utanríkismálanefnd 
utanrrh	utanríkisráðherra 
utanrrn	utanríkisráðuneyti 
viðskn	viðskiptanefnd
viðskrh	viðskiptaráðherra 
viðskrn	viðskiptaráðuneyti 
vþm	varaþingmaður 
þál	þingsályktun 
þáltill	þingsályktunartillaga 
þm	þingmaður 
þmfrv	þingmannafrumvarp 
þmtill	þingmannatillaga 
þskj	þingskjal 
